ORIGINAL UNITS:,METRIC,MAP PROJECTION:,NAD 83
WELL INFORMATION
UWID:,100/05-08-013-18W4/00
NAME:,BOC775 RETLAW 5-8-13-18
KB ELEVATION(m):,     824.1
GROUND ELEVATION(m):,     819.6
BH COORD(m N):,     430.2,RELATIVE TO,SW 08-013-18W4
BH COORD(m E):,      96.3,RELATIVE TO,SW 08-013-18W4
BH COORD LAT(deg N):,  50.06638
BH COORD LONG(deg E):,-112.43718
SH LOC:,04-16-013-18W4
SH COORD(m N):,     107.3,RELATIVE TO,SW 16-013-18W4
SH COORD(m E):,      50.5,RELATIVE TO,SW 16-013-18W4
SH COORD LAT(deg N):,  50.07815
SH COORD LONG(deg E):,-112.41502
Grid Convergence(°):,-1.09
100/05-08-013-18W4/00,   1392.04,     90.20,    223.80,   1044.42,    -49.10,   -391.34
100/05-08-013-18W4/00,   1405.70,     91.10,    224.60,   1044.27,    -58.62,   -401.13
100/05-08-013-18W4/00,   1419.35,     90.50,    223.90,   1044.08,    -68.14,   -410.91
100/05-08-013-18W4/00,   1432.99,     89.70,    223.50,   1044.05,    -77.58,   -420.81
100/05-08-013-18W4/00,   1446.64,     89.20,    223.80,   1044.18,    -86.96,   -430.59
100/05-08-013-18W4/00,   1460.27,     89.90,    223.80,   1044.29,    -96.40,   -440.49
100/05-08-013-18W4/00,   1473.89,     89.40,    224.70,   1044.37,   -105.92,   -450.27
100/05-08-013-18W4/00,   1487.53,     89.30,    225.60,   1044.53,   -115.58,   -459.83
100/05-08-013-18W4/00,   1501.17,     90.70,    226.90,   1044.53,   -125.45,   -469.28
100/05-08-013-18W4/00,   1514.80,     92.00,    228.10,   1044.21,   -135.47,   -478.51
100/05-08-013-18W4/00,   1528.44,     92.50,    229.20,   1043.67,   -145.70,   -487.52
100/05-08-013-18W4/00,   1542.07,     92.20,    230.30,   1043.11,   -156.08,   -496.30
100/05-08-013-18W4/00,   1555.72,     91.30,    230.30,   1042.70,   -166.60,   -504.97
100/05-08-013-18W4/00,   1558.81,     91.10,    230.30,   1042.63,   -168.96,   -506.97
100/05-08-013-18W4/00,   1569.36,     90.40,    230.30,   1042.49,   -177.05,   -513.64
100/05-08-013-18W4/00,   1582.99,     88.90,    229.00,   1042.58,   -187.42,   -522.54
100/05-08-013-18W4/00,   1596.64,     88.70,    227.30,   1042.86,   -197.59,   -531.65
100/05-08-013-18W4/00,   1610.27,     88.50,    226.80,   1043.20,   -207.60,   -540.88
100/05-08-013-18W4/00,   1623.91,     88.40,    226.80,   1043.56,   -217.55,   -550.22
100/05-08-013-18W4/00,   1637.56,     88.20,    227.50,   1043.97,   -227.50,   -559.45
100/05-08-013-18W4/00,   1651.20,     88.90,    228.20,   1044.31,   -237.66,   -568.68
100/05-08-013-18W4/00,   1664.83,     90.00,    229.00,   1044.45,   -247.82,   -577.68
100/05-08-013-18W4/00,   1678.47,     90.30,    228.70,   1044.41,   -258.13,   -586.58
100/05-08-013-18W4/00,   1692.12,     90.70,    228.70,   1044.29,   -268.36,   -595.58
100/05-08-013-18W4/00,   1705.75,     91.10,    228.80,   1044.08,   -278.59,   -604.59
100/05-08-013-18W4/00,   1719.39,     90.20,    228.10,   1043.92,   -288.83,   -613.71
100/05-08-013-18W4/00,   1733.04,     88.20,    225.80,   1044.11,   -298.77,   -622.93
100/05-08-013-18W4/00,   1746.66,     88.60,    225.40,   1044.49,   -308.51,   -632.50
100/05-08-013-18W4/00,   1760.29,     89.00,    226.50,   1044.78,   -318.31,   -641.95
100/05-08-013-18W4/00,   1773.93,     89.40,    226.60,   1044.97,   -328.19,   -651.28
100/05-08-013-18W4/00,   1787.57,     89.70,    228.20,   1045.08,   -338.21,   -660.51
