UWI,MD,Inc,Az,tvd,noff,eoff,
100/01-07-013-18W4/00,3595.27,89.32,45.69,1045.5,1674.87,2111.29,
100/01-07-013-18W4/00,3614.59,86.77,43.93,1046.16,1688.55,2124.89,
100/01-07-013-18W4/00,3633.81,86.07,42.09,1047.36,1702.56,2137.98,
100/01-07-013-18W4/00,3653.02,89.01,41.03,1048.19,1716.91,2150.71,
100/01-07-013-18W4/00,3672.19,90.46,43.41,1048.27,1731.04,2163.59,
100/01-07-013-18W4/00,3691.48,91.16,44.02,1048,1745.05,2176.9,
100/01-07-013-18W4/00,3710.67,91.69,42.79,1047.52,1758.95,2190.06,
100/01-07-013-18W4/00,3729.87,90.29,43.14,1047.19,1772.97,2203.15,
100/01-07-013-18W4/00,3748.93,89.93,42.53,1047.16,1786.98,2216.1,
100/01-07-013-18W4/00,3767.95,89.67,42.44,1047.22,1801,2228.98,
100/01-07-013-18W4/00,3787.05,89.36,42.26,1047.38,1815.12,2241.86,
100/01-07-013-18W4/00,3806.11,88.75,41.56,1047.7,1829.25,2254.59,
100/01-07-013-18W4/00,3828,88.75,41.56,1048.18,1845.6,2269.04,
